"original_tweet","total_words","total_sentiment","total_nouns","total_users"
"This past Saturday was the single biggest day of grassroots support yet: 118,000 contributions came in over just 24 hours.","20","0.0","5","1"
"Over the last year, millions of people have come together to register voters, recruit volunteers, and grow this organization with donations.","21","0.0","7","1"
"President Obama and supporters across the country launched this campaign a year ago today. Happy anniversary. #Obama2012","17","0.0","9","0"
"Five years ago, a woman named Edith Childs proved that one voice can change the world: http://t.co/5Hg8vkCF","17","0.5","5","0"
"President Obama signed the STOCK Act today to ban insider trading by members of Congress: http://t.co/fL5MTZtS #progress","17","0.3125","9","1"
"We’ll be live-tweeting the President’s signing of the STOCK Act from @Obama2012—follow along for the latest.","16","0.3125","4","0"
"Watch live: President Obama signs the STOCK Act to ban insider trading by members of Congress. http://t.co/mm4eGrZJ","17","0.6339285714289999","9","1"
"Thanks to President Obama, 3 million more American students now receive Pell Grants: http://t.co/ycg87w49 #progress","15","0.25","6","1"
"Enter the #RunwayToWin challenge for a chance to have your work alongside designers like @marcjacobs and @Tracy_Reese: http://t.co/Lgg9sgz2","18","0.375","7","0"
"Explore @VP Biden’s life and career on his new Facebook Timeline—and check him out in action with POTUS: http://t.co/6OUsdcUz","19","0.0","8","0"
"At 3:45pm ET, @VP Joe Biden will be answering your questions on college affordability—ask yours using #AskVP.","17","0.25","8","0"
"If you missed the President's speech, you can watch the whole thing here: http://t.co/URvgdGX7","14","0.25","3","0"
"President Obama on the GOP plan to gut Medicare: “Gov. Romney said he’s very supportive of this new budget—and he even calls it marvelous.”","24","0.0","9","1"
"POTUS: “If you make more than $1 million annually, then you should pay at least the same percent of your income as middle-class families.”","24","0.0","4","1"
"POTUS: “Prosperity has never trickled down from a wealthy few. It has always come from the success of a strong and growing middle class.”","24","0.5","4","0"
"President Obama, speaking at the ASNE conference in Washington today: “I believe this is a make-or-break moment for the middle class.”","21","0.5","8","0"
"Watch live: President Obama speaks about the economy in Washington, D.C. http://t.co/mm4eGrZJ","12","0.321428571429","6","1"
"There are a lot of reasons to support President Obama—what’s yours? #Obama2012","12","0.85","5","0"
"This campaign got started a year ago Wednesday. Weigh in here on your favorite #Obama2012 moment so far: http://t.co/xya5mcLC","19","0.375","6","1"
"“Our goal is to make sure people understand the facts, and then more often than not, they'll want to come on board.” http://t.co/jScSFaU7","23","0.25","4","0"
"Middle-class families shouldn’t pay a higher tax rate than millionaires. http://t.co/Fda1wt6R #BuffettRule","12","0.375","5","1"
"Grassroots supporters from all over the Midwest spent the weekend making sure Wisconsin's ready to vote: http://t.co/NWdCQaSJ #OwnYourVote","18","0.229166666667","6","0"
"Nolan isn’t old enough to vote yet, but he’s helping @OFA_NC register voters and build this campaign: http://t.co/QkH2I8Vg #Obama2012","19","0.0","7","0"
"The #ACA helped Lindsey’s friend Chris get insurance when he faced cancer and a serious heart condition at 22: http://t.co/mCDfO0t3","20","0.25","8","0"
"Watch live: President Obama holds a joint press conference with the leaders of Mexico and Canada. http://t.co/mm4eGrZJ","17","0.321428571429","8","0"
"POTUS on why he stands with Planned Parenthood: “Protecting women’s health is a mission that stands above politics.” http://t.co/jvzjWEgs","19","1.6875","6","0"
"Have a favorite fired-up song? Take a look at our new supporter-driven @Spotify playlist and reply with your own picks: http://t.co/gvQez3uN","21","0.0","6","0"
"A message from #Obama2012 field organizers: thank you. http://t.co/Ne7Prh6W","9","0.25","4","0"
"President Obama: Women are not an interest group. http://t.co/mq0RE5A8","9","0.708333333333","5","0"
"To everyone who gave yesterday in advance of our FEC deadline, and over the quarter, to support the President: Thank you. No fooling.","23","0.5625","7","0"
"Last call to throw your name in the hat for dinner with President Obama: http://t.co/UY5FzzF8","15","0.333333333333","5","0"
"There's still someone out there who's going to fill the last seat at #DinnerWithBarack. Is it you? http://t.co/qUaGKtAL","18","0.0","2","0"
"New audio post: Field organizers across the country called in to explain why they joined #Obama2012. http://t.co/eCbcEesC","17","0.25","5","1"
"President Obama, fired up in Vermont yesterday: http://t.co/gQxE1dN5","8","0.25","4","0"
"“My best speeches came from having a conversation with someone.”—The President at #DinnerWithBarack: http://t.co/DbUuQ9UC","14","0.25","5","1"
"Every donation gets us closer to the campaign we’ll need to win this thing—one organizer at time: http://t.co/vmD1aXwT","18","0.5","5","0"
"Tonight's deadline is our biggest yet. Give $3 or whatever you can: http://t.co/y4rUbiE7","13","0.0","2","0"
"Asking a billionaire to pay at least the same tax rate as his secretary is just common sense. http://t.co/8QTEUemb","19","0.375","5","1"
"It’s all over at midnight—10% discount in the #Obama2012 store with the code DEADLINE: http://t.co/RR4WmFha","15","0.0","5","0"
"Wyndi: Never in a million years did I think I would be having this conversation. http://t.co/ACMzk17m #DinnerWithBarack","17","0.0","4","0"
"Here’s what your support helped #Obama2012 organizers do last month: http://t.co/UC69wpQ0","11","0.0","4","0"
"Ever wanted to ask President Obama about his first date with Michelle? His hardest moment? You can't miss this video: http://t.co/Q0zq2gu4","21","0.0","5","0"
"Get 10% off all orders of $10 or more today with the code DEADLINE: http://t.co/eSvuAAD8","15","0.0","4","0"
"Midnight tomorrow is our most critical fundraising deadline yet—chip in $3 so we can out-organize the other side: http://t.co/Bg5xZyE7","19","0.0","5","0"
"POTUS: Women are half of this country, and they're perfectly capable of making their own choices about their health. http://t.co/ouG22zV0","20","0.979166666667","6","1"
