"serial_number","original_tweet","nouns_only"
"42","For Diarra from New Jersey the best moment of the last year was the President's State of the Union: http://t.co/LHflwvOK","diarra jersei moment year presid union"
"43","Kari from Georgia on President Obama singing Al Green: Makes me smile every time I see it. http://t.co/tSb8hK94","kari georgia presid obama sing al green time"
"44","Adam from Wisconsin loved The Road We've Traveled—an inside look at the President's first three years: http://t.co/4OZWggTy","adam wisconsin road weve traveledan presid year"
"45","Kendra of New York: “'Women are not an interest group' was the best line of any campaign in my recent memory!” http://t.co/IwYx6KbH","kendra york women interest group campaign memori"
"46","Samantha from Massachusetts was touched when the President signed thank you to a young man in Maryland: http://t.co/rRn4imhj","samantha massachusett presid man maryland"
"47","Over the last couple of days we've asked you about your favorite moments from this last year. Coming up: five people's picks.","coupl dai moment year peopl pick"
"48","If you've been part of this already thank you. If you haven't see what we've done so far and say you're in now: http://t.co/f9mYJipv","weve"
"49","This past Saturday was the single biggest day of grassroots support yet: 118000 contributions came in over just 24 hours.","saturdai dai grassroot contribut hour"
"50","Over the last year millions of people have come together to register voters recruit volunteers and grow this organization with donations.","year million peopl voter volunt organ donat"
"51","President Obama and supporters across the country launched this campaign a year ago today. Happy anniversary. #Obama2012","presid obama support countri campaign year todai anniversari obama2012"
"52","Five years ago a woman named Edith Childs proved that one voice can change the world: http://t.co/5Hg8vkCF","year woman edith child voic"
"53","President Obama signed the STOCK Act today to ban insider trading by members of Congress: http://t.co/fL5MTZtS #progress","presid obama stock todai insid trade member congress progress"
"54","We’ll be live-tweeting the President’s signing of the STOCK Act from @Obama2012—follow along for the latest.","presid sign stock obama2012follow"
"55","Watch live: President Obama signs the STOCK Act to ban insider trading by members of Congress. http://t.co/mm4eGrZJ","watch presid obama sign stock insid trade member congress"
"56","Thanks to President Obama 3 million more American students now receive Pell Grants: http://t.co/ycg87w49 #progress","presid obama student pell grant progress"
"57","Enter the #RunwayToWin challenge for a chance to have your work alongside designers like @marcjacobs and @Tracy_Reese: http://t.co/Lgg9sgz2","runwaytowin challeng chanc work design marcjacob tracyrees"
"58","Explore @VP Biden’s life and career on his new Facebook Timeline—and check him out in action with POTUS: http://t.co/6OUsdcUz","vp biden life career facebook timelineand action potu"
"59","At 3:45pm ET @VP Joe Biden will be answering your questions on college affordability—ask yours using #AskVP.","345pm vp joe biden question colleg affordabilityask askvp"
"60","If you missed the President's speech you can watch the whole thing here: http://t.co/URvgdGX7","presid speech thing"
"61","President Obama on the GOP plan to gut Medicare: “Gov. Romney said he’s very supportive of this new budget—and he even calls it marvelous.”","presid obama gop plan gut medicar gov romnei budgetand"
"62","POTUS: “If you make more than $1 million annually then you should pay at least the same percent of your income as middle-class families.”","potu percent incom famili"
"63","POTUS: “Prosperity has never trickled down from a wealthy few. It has always come from the success of a strong and growing middle class.”","potu prosper success class"
"64","President Obama speaking at the ASNE conference in Washington today: “I believe this is a make-or-break moment for the middle class.”","presid obama asn confer washington todai moment class"
"65","Watch live: President Obama speaks about the economy in Washington D.C. http://t.co/mm4eGrZJ","watch presid obama economi washington dc"
"66","There are a lot of reasons to support President Obama—what’s yours? #Obama2012","lot reason presid obamawhat obama2012"
"67","This campaign got started a year ago Wednesday. Weigh in here on your favorite #Obama2012 moment so far: http://t.co/xya5mcLC","campaign year wednesdai weigh obama2012 moment"
"68","“Our goal is to make sure people understand the facts and then more often than not they'll want to come on board.” http://t.co/jScSFaU7","goal peopl fact board"
"69","Middle-class families shouldn’t pay a higher tax rate than millionaires. http://t.co/Fda1wt6R #BuffettRule","famili tax rate millionair buffettrul"
"70","Grassroots supporters from all over the Midwest spent the weekend making sure Wisconsin's ready to vote: http://t.co/NWdCQaSJ #OwnYourVote","grassroot support midwest weekend wisconsin ownyourvot"
"71","Nolan isn’t old enough to vote yet but he’s helping @OFA_NC register voters and build this campaign: http://t.co/QkH2I8Vg #Obama2012","nolan isnt ofanc regist voter campaign obama2012"
"72","The #ACA helped Lindsey’s friend Chris get insurance when he faced cancer and a serious heart condition at 22: http://t.co/mCDfO0t3","aca lindsei friend chri insur cancer heart condit"
"73","Watch live: President Obama holds a joint press conference with the leaders of Mexico and Canada. http://t.co/mm4eGrZJ","watch presid obama press confer leader mexico canada"
"74","POTUS on why he stands with Planned Parenthood: “Protecting women’s health is a mission that stands above politics.” http://t.co/jvzjWEgs","potu plan parenthood women health mission"
"75","Have a favorite fired-up song? Take a look at our new supporter-driven @Spotify playlist and reply with your own picks: http://t.co/gvQez3uN","firedup song spotifi playlist repli pick"
"76","A message from #Obama2012 field organizers: thank you. http://t.co/Ne7Prh6W","messag obama2012 field organ"
"77","President Obama: Women are not an interest group. http://t.co/mq0RE5A8","presid obama women interest group"
"78","To everyone who gave yesterday in advance of our FEC deadline and over the quarter to support the President: Thank you. No fooling.","yesterdai advanc fec deadlin quarter presid fool"
"79","Last call to throw your name in the hat for dinner with President Obama: http://t.co/UY5FzzF8","call hat dinner presid obama"
"80","There's still someone out there who's going to fill the last seat at #DinnerWithBarack. Is it you? http://t.co/qUaGKtAL","seat dinnerwithbarack"
"81","New audio post: Field organizers across the country called in to explain why they joined #Obama2012. http://t.co/eCbcEesC","post field organ countri obama2012"
"82","President Obama fired up in Vermont yesterday: http://t.co/gQxE1dN5","presid obama vermont yesterdai"
"83","“My best speeches came from having a conversation with someone.”—The President at #DinnerWithBarack: http://t.co/DbUuQ9UC","speech convers someoneth presid dinnerwithbarack"
"84","Every donation gets us closer to the campaign we’ll need to win this thing—one organizer at time: http://t.co/vmD1aXwT","donat campaign thingon organ time"
"85","Tonight's deadline is our biggest yet. Give $3 or whatever you can: http://t.co/y4rUbiE7","tonight deadlin"
"86","Asking a billionaire to pay at least the same tax rate as his secretary is just common sense. http://t.co/8QTEUemb","billionair tax rate secretari sens"
"87","It’s all over at midnight—10% discount in the #Obama2012 store with the code DEADLINE: http://t.co/RR4WmFha","discount obama2012 store code deadlin"
"88","Wyndi: Never in a million years did I think I would be having this conversation. http://t.co/ACMzk17m #DinnerWithBarack","wyndi year convers dinnerwithbarack"
"89","Here’s what your support helped #Obama2012 organizers do last month: http://t.co/UC69wpQ0","support obama2012 organ month"
"90","Ever wanted to ask President Obama about his first date with Michelle? His hardest moment? You can't miss this video: http://t.co/Q0zq2gu4","presid obama michel moment video"
"91","Get 10% off all orders of $10 or more today with the code DEADLINE: http://t.co/eSvuAAD8","order todai code deadlin"
"92","Midnight tomorrow is our most critical fundraising deadline yet—chip in $3 so we can out-organize the other side: http://t.co/Bg5xZyE7","midnight tomorrow deadlin yetchip side"
"93","POTUS: Women are half of this country and they're perfectly capable of making their own choices about their health. http://t.co/ouG22zV0","potu women half countri choic health"
